"id","host_id","host_response_rate","host_is_superhost","property_type","host_identity_verified","neighbourhood_cleansed","instant_bookable","cancellation_policy","accommodates","bathrooms","bedrooms","beds","price"
27732395,111619036,1,"f","Villa","f","West Point Grey","t","flexible",2,1,1,1,45
38385091,171096108,1,"f","Apartment","f","Mount Pleasant","f","strict_14_with_grace_period",4,1,1,1,298
11986499,14046955,1,"t","Condominium","t","Fairview","t","strict_14_with_grace_period",2,1,1,1,115
27266598,64117742,NA,"f","Apartment","f","West End","t","moderate",2,1,1,1,99
32837656,5438862,1,"t","House","t","Oakridge","f","flexible",1,1,1,1,36
4888430,25151201,1,"t","Apartment","t","Mount Pleasant","f","moderate",2,1,1,1,88
19931091,141214749,1,"t","Apartment","f","Kitsilano","t","strict_14_with_grace_period",2,1,0,1,140
2675179,11742636,1,"t","House","f","Kitsilano","f","strict_14_with_grace_period",4,2,2,2,450
6045404,3959207,1,"t","House","t","Riley Park","f","strict_14_with_grace_period",8,3.5,3,4,400
33435869,20827308,1,"t","House","f","Renfrew-Collingwood","t","moderate",7,2,3,4,353
33001795,248380003,0.9,"f","Apartment","f","Downtown Eastside","f","strict_14_with_grace_period",2,1,1,1,99
24066686,139891966,1,"f","Condominium","f","Fairview","f","flexible",4,1.5,2,2,125
30272143,227359574,1,"f","Condominium","f","Downtown Eastside","t","strict_14_with_grace_period",6,2,2,3,250
39705529,64755102,0.8,"f","House","t","Oakridge","t","flexible",2,1,1,0,49
34395387,600607,1,"f","Condominium","t","Downtown","f","strict_14_with_grace_period",4,1,2,2,102
27225603,180741245,1,"f","Serviced apartment","f","Shaughnessy","f","moderate",3,1,1,2,90
30355890,5213371,NA,"f","House","t","Grandview-Woodland","t","strict_14_with_grace_period",3,2,2,2,199
840894,923296,NA,"f","Apartment","t","Riley Park","t","strict_14_with_grace_period",3,1,1,2,59
34989090,156460473,1,"f","House","t","Oakridge","t","moderate",2,2,1,1,59
14406039,2495616,NA,"f","Apartment","t","Mount Pleasant","f","moderate",2,1,1,2,55
5183901,6848356,1,"f","Apartment","f","Downtown","f","strict_14_with_grace_period",2,1,1,1,224
25432407,191993016,0,"f","House","f","Kensington-Cedar Cottage","f","flexible",1,1,1,1,65
129163,597619,0.86,"t","House","t","Renfrew-Collingwood","t","strict_14_with_grace_period",1,1,1,1,44
27765325,38695438,1,"f","Condominium","f","Mount Pleasant","f","strict_14_with_grace_period",2,1,0,1,74
21412609,129656102,1,"t","House","f","Shaughnessy","t","moderate",5,1,2,3,188
25352164,168664623,NA,"t","Apartment","t","West End","t","moderate",4,1,2,2,180
18638835,9219014,NA,"f","Condominium","t","Downtown","f","strict_14_with_grace_period",4,1,1,2,235
37368309,122773552,1,"f","Condominium","t","Downtown Eastside","f","strict_14_with_grace_period",2,1,0,1,206
10946286,9073956,NA,"f","Apartment","t","Downtown Eastside","f","moderate",4,1,1,1,135
34898227,52109244,1,"f","Condominium","f","Downtown Eastside","t","moderate",6,1,2,3,325
29742700,25074817,0.97,"f","House","f","West End","t","moderate",2,1,1,1,81
27676888,59339551,1,"t","Condominium","t","Downtown","f","moderate",2,1,1,1,215
32389880,6688397,NA,"f","House","f","Kensington-Cedar Cottage","t","strict_14_with_grace_period",6,2,3,4,160
20982614,25617728,0,"f","Condominium","f","Mount Pleasant","f","moderate",2,1,1,1,125
18614904,43148443,1,"f","Apartment","t","Downtown","t","strict_14_with_grace_period",5,1,1,3,135
36984258,277179991,1,"t","House","f","Kensington-Cedar Cottage","f","strict_14_with_grace_period",8,2,3,4,199
27258458,204630985,0.8,"f","House","t","Oakridge","f","moderate",12,4,5,5,500
14823788,60846003,1,"t","Condominium","f","Downtown","f","strict_14_with_grace_period",6,2,2,3,198
30012715,18850888,NA,"t","Condominium","t","Downtown","f","strict_14_with_grace_period",3,1,1,1,85
36479496,2738423,1,"f","Condominium","f","Grandview-Woodland","f","moderate",2,1,1,1,110
17121025,162500,0.86,"t","House","f","Kitsilano","t","flexible",1,1,1,1,55
34795099,104267661,0.94,"t","House","f","South Cambie","t","strict_14_with_grace_period",4,1,1,2,99
37029868,278426246,1,"t","Apartment","t","Downtown Eastside","t","strict_14_with_grace_period",4,2,2,2,199
23174230,34142007,1,"t","House","t","Riley Park","f","strict_14_with_grace_period",1,1,1,1,59
38649890,274798805,1,"f","House","f","Grandview-Woodland","f","flexible",2,1.5,1,1,88
36324453,247844801,1,"f","House","f","Sunset","t","flexible",4,1,1,2,79
21504385,36718746,0.93,"t","Guest suite","f","Downtown Eastside","t","moderate",2,1,1,0,79
37660620,66507029,0.99,"f","House","t","Kerrisdale","t","strict_14_with_grace_period",2,1,1,1,49
39611032,304362139,1,"f","Apartment","f","Downtown","t","strict_14_with_grace_period",4,1,1,1,298
38522586,293793364,1,"f","House","f","Arbutus Ridge","t","strict_14_with_grace_period",15,4,6,8,561
26235906,197169851,1,"t","Condominium","f","Downtown","t","strict_14_with_grace_period",2,1,1,2,189
37626204,4425717,1,"t","Serviced apartment","f","Downtown","t","strict_14_with_grace_period",2,1,1,1,248
22389548,139891966,1,"f","Condominium","f","Fairview","f","moderate",2,1,1,1,90
34947318,16750396,1,"t","Apartment","t","Downtown","f","strict_14_with_grace_period",8,2,3,5,400
39010170,38313386,0.98,"f","Condominium","t","Downtown","f","flexible",1,1,1,1,110
34516436,182110861,0.89,"f","Villa","f","Dunbar Southlands","t","strict_14_with_grace_period",2,1,1,2,158
26418037,20301822,1,"f","Loft","t","Downtown Eastside","f","moderate",4,1,1,2,141
30019478,30899,0.81,"f","Condominium","t","Mount Pleasant","f","strict_14_with_grace_period",3,1,0,1,83
17076303,869514,1,"f","House","t","Kensington-Cedar Cottage","f","strict_14_with_grace_period",6,2.5,3,4,445
27504588,36214951,1,"f","Loft","f","Hastings-Sunrise","t","strict_14_with_grace_period",1,1,1,4,32
33854740,46167499,0.5,"f","Apartment","t","Hastings-Sunrise","f","strict_14_with_grace_period",5,1,2,3,180
31221804,30899,0.81,"f","Condominium","t","Downtown","f","strict_14_with_grace_period",3,1,1,1,96
19014703,10236964,NA,"f","House","t","Kitsilano","f","strict_14_with_grace_period",4,1,2,3,250
14859107,54751193,0.7,"f","Apartment","t","Downtown","f","strict_14_with_grace_period",6,2,2,3,224
36822087,276353963,1,"t","House","f","Renfrew-Collingwood","f","flexible",2,1,1,1,59
3595722,809844,1,"f","Loft","t","Mount Pleasant","f","moderate",2,1,1,1,129
27934128,105608504,1,"f","Apartment","f","Kitsilano","t","moderate",2,1,1,1,151
8871507,25048648,1,"t","House","f","Hastings-Sunrise","f","moderate",2,1.5,1,1,90
10811008,2693243,1,"t","Boutique hotel","f","Downtown","f","moderate",3,1,1,2,160
7341791,23069890,1,"f","Bungalow","t","Oakridge","f","strict_14_with_grace_period",2,1,1,1,69
37242263,276868362,1,"f","House","f","Riley Park","t","moderate",5,2,2,3,160
29965713,223896599,1,"f","Guesthouse","f","Oakridge","t","moderate",2,1,1,1,55
12213507,4292086,1,"t","Apartment","t","West End","f","strict_14_with_grace_period",4,1,2,2,250
19804238,105398194,1,"t","House","t","Hastings-Sunrise","f","strict_14_with_grace_period",2,1,1,1,75
37572516,31913507,1,"t","Guest suite","t","Mount Pleasant","t","strict_14_with_grace_period",7,1,2,4,210
24856293,187903144,1,"t","Guest suite","f","Mount Pleasant","t","moderate",2,1,1,1,58
33667096,253750758,1,"t","House","f","Mount Pleasant","f","strict_14_with_grace_period",4,2,2,2,199
18795,70137,0.94,"f","House","t","West End","f","strict_14_with_grace_period",2,1,1,1,95
8720587,3532071,1,"f","House","f","Kitsilano","f","strict_14_with_grace_period",4,2,2,2,151
36086424,271468231,1,"t","Guest suite","f","Hastings-Sunrise","f","moderate",3,1,1,2,100
20971608,135463390,1,"t","Apartment","t","Downtown","t","strict_14_with_grace_period",5,2,2,3,199
39724489,39203286,NA,"f","House","t","Dunbar Southlands","t","flexible",12,3,6,7,780
39361265,105978579,1,"f","House","f","Hastings-Sunrise","f","strict_14_with_grace_period",4,1,2,2,73
21634084,63790556,1,"t","House","f","Kensington-Cedar Cottage","t","flexible",2,1,1,1,50
20541307,13716547,NA,"f","Apartment","t","Kitsilano","f","strict_14_with_grace_period",4,1,2,2,85
31171586,39968359,1,"f","Apartment","f","West End","t","strict_14_with_grace_period",4,1,1,2,250
1213494,6624242,1,"t","House","f","Mount Pleasant","f","strict_14_with_grace_period",4,2.5,2,2,250
39692133,80370301,1,"f","Townhouse","t","Downtown","f","strict_14_with_grace_period",3,1.5,1,1,400
34601934,69383466,1,"t","Guest suite","f","West Point Grey","t","moderate",2,1,1,1,180
37119585,42725147,1,"f","Guesthouse","t","Sunset","f","moderate",4,1.5,2,2,197
34285756,258852866,1,"t","Apartment","f","Downtown Eastside","t","moderate",5,2,2,2,329
10116452,6458182,1,"f","Apartment","t","Strathcona","f","moderate",2,1,1,1,110
25423979,61440913,1,"f","Apartment","f","Downtown","f","moderate",3,1,1,2,230
31542902,30595306,1,"f","Guest suite","t","Dunbar Southlands","t","strict_14_with_grace_period",3,1,3,3,140
34475317,260233362,1,"t","Tiny house","f","Dunbar Southlands","t","strict_14_with_grace_period",4,1,2,3,257
37158720,279591464,0.97,"f","Loft","f","Downtown","t","strict_14_with_grace_period",6,1,2,4,360
22346943,163401554,0.89,"f","Apartment","f","Downtown","t","strict_14_with_grace_period",3,1,2,3,151
23172118,139891966,1,"f","Condominium","f","Fairview","t","flexible",2,1,1,1,100
34516447,8362233,1,"t","Guest suite","t","West Point Grey","f","strict_14_with_grace_period",2,1,1,1,1000
25581122,1456236,1,"t","House","f","Oakridge","f","strict_14_with_grace_period",2,1,1,1,59
39955773,294086445,NA,"f","Condominium","f","Downtown","t","strict_14_with_grace_period",2,1,1,1,100
1233101,3778731,1,"f","House","f","Kitsilano","f","strict_14_with_grace_period",2,1.5,1,1,185
33743687,254360360,1,"f","Apartment","f","Downtown Eastside","t","strict_14_with_grace_period",2,1,1,1,102
39654977,66507029,0.99,"f","House","t","Arbutus Ridge","t","strict_14_with_grace_period",2,1,1,1,49
37438351,216447702,1,"f","Villa","f","Dunbar Southlands","t","moderate",4,2,2,2,81
35809857,269390094,1,"t","Guest suite","f","Killarney","t","strict_14_with_grace_period",2,1,1,1,88
24141611,122773552,1,"f","Condominium","t","Downtown","f","strict_14_with_grace_period",3,1,1,2,132
771366,2502595,1,"f","Serviced apartment","f","Downtown","f","flexible",2,1,0,0,199
18058854,12956571,1,"t","Guest suite","t","Hastings-Sunrise","t","strict_14_with_grace_period",3,1,1,1,119
37130562,159165445,1,"t","Guest suite","f","Kitsilano","t","strict_14_with_grace_period",4,1,1,2,128
26570417,197985531,NA,"f","House","f","Kitsilano","f","flexible",6,2.5,2,2,275
24273,1267409,1,"f","Apartment","f","Kitsilano","f","strict_14_with_grace_period",6,1,2,3,300
31465953,41073756,1,"t","Guest suite","f","Kerrisdale","f","strict_14_with_grace_period",2,1,1,1,98
34285936,23356991,1,"f","Apartment","f","Downtown","f","strict_14_with_grace_period",2,1,1,1,170
34447802,260039867,1,"t","House","f","Renfrew-Collingwood","t","moderate",2,1,1,1,40
22851367,18695187,NA,"t","Apartment","f","Downtown Eastside","t","strict_14_with_grace_period",2,1,1,1,199
33690875,216623387,1,"t","House","f","Kitsilano","t","strict_14_with_grace_period",2,1.5,1,1,110
30051172,66389287,1,"t","House","f","Kensington-Cedar Cottage","f","moderate",8,1,3,4,224
19095540,97356,1,"t","Condominium","t","West End","f","strict_14_with_grace_period",2,1,1,0,165
37148623,276705143,1,"f","House","f","Oakridge","t","strict_14_with_grace_period",1,1.5,1,1,33
27903066,6197538,1,"t","Apartment","t","Downtown Eastside","t","strict_14_with_grace_period",4,1,1,1,151
17833279,677632,1,"f","Apartment","f","Downtown Eastside","f","strict_14_with_grace_period",2,1,2,2,75
34068839,30735545,1,"f","Guest suite","t","Mount Pleasant","t","moderate",2,1,1,1,115
21837486,159230377,NA,"f","House","t","Kitsilano","f","strict_14_with_grace_period",2,1,1,1,120
20157644,15587158,1,"f","Other","f","Hastings-Sunrise","t","strict_14_with_grace_period",4,1,1,2,67
1301620,7077434,1,"t","Guest suite","t","Grandview-Woodland","f","moderate",3,1,1,2,120
4849995,21783759,1,"t","Condominium","f","Downtown","t","strict_14_with_grace_period",4,2,2,2,350
15086471,18111905,1,"f","Guest suite","t","Kitsilano","f","strict_14_with_grace_period",3,1,2,2,110
9490187,16623975,NA,"f","Condominium","f","West End","f","strict_14_with_grace_period",4,1,1,2,143
14580511,46673467,1,"t","Guest suite","t","Mount Pleasant","t","strict_14_with_grace_period",4,1,1,1,99
1530460,6329283,0.9,"t","House","t","Kensington-Cedar Cottage","f","strict_14_with_grace_period",4,1,1,1,38
26133024,317618,1,"t","Serviced apartment","t","Downtown","f","strict_14_with_grace_period",2,1,1,1,195
32726610,236411620,1,"f","House","f","Marpole","t","strict_14_with_grace_period",1,1,1,1,40
39079351,299518072,1,"f","House","f","Kensington-Cedar Cottage","f","strict_14_with_grace_period",4,1,2,2,75
29962349,224364356,1,"f","Apartment","f","Downtown","t","moderate",4,2,1,2,186
29346974,125732293,NA,"f","Condominium","t","West End","t","flexible",1,1,1,1,40
32365854,243025967,1,"t","Apartment","f","West End","t","strict_14_with_grace_period",2,1,1,2,100
29940037,98634666,1,"t","House","f","Kitsilano","t","flexible",5,1,2,3,199
36236564,261226582,1,"f","Condominium","f","Downtown Eastside","f","strict_14_with_grace_period",4,1,1,1,114
33821083,40772079,1,"f","House","f","Kerrisdale","t","moderate",1,1,1,1,129
25034146,141458230,1,"t","Guest suite","f","Dunbar Southlands","f","moderate",4,1,1,3,312
35002838,263511591,1,"t","Apartment","f","Kerrisdale","t","strict_14_with_grace_period",4,1,1,1,399
38547534,5047540,1,"f","Guest suite","t","Kensington-Cedar Cottage","t","flexible",4,1,2,2,100
39109719,299414905,1,"f","Apartment","f","West End","t","moderate",2,1,1,1,99
31343548,28010322,1,"t","Apartment","t","West End","t","moderate",2,1,1,1,85
14162473,80273902,1,"t","Apartment","t","Mount Pleasant","t","strict_14_with_grace_period",6,1,2,2,125
19298482,40454619,1,"t","Condominium","t","Downtown","f","moderate",2,1,1,1,49
1209195,6602654,1,"f","Cottage","f","Grandview-Woodland","t","flexible",3,1,0,2,85
37946001,10786635,1,"f","Apartment","f","Downtown Eastside","f","strict_14_with_grace_period",2,1,1,1,180
35064606,3641824,0,"f","Condominium","t","Mount Pleasant","f","flexible",2,1,1,1,70
32141172,200398776,1,"t","Apartment","f","West End","t","strict_14_with_grace_period",2,1,1,1,70
22436617,32801130,1,"t","House","t","Marpole","f","strict_14_with_grace_period",1,1.5,1,1,42
12309772,930612,0.97,"f","Apartment","f","Downtown","f","strict_14_with_grace_period",5,2,2,3,399
37264358,272222903,0.92,"f","Apartment","f","Downtown","f","flexible",6,3,3,3,399
28562262,2455412,NA,"f","House","f","Hastings-Sunrise","f","strict_14_with_grace_period",6,2,3,3,310
10569044,11241353,1,"t","Guest suite","t","Kitsilano","f","strict_14_with_grace_period",2,1,1,1,275
3932791,3842332,1,"f","Apartment","f","Kitsilano","f","strict_14_with_grace_period",2,1,1,2,129
29742156,223750845,1,"f","Condominium","f","Mount Pleasant","t","moderate",2,1,1,1,120
6378583,3435373,0.71,"f","Apartment","t","Marpole","f","strict_14_with_grace_period",3,1,1,2,151
36172786,265249066,1,"f","Hotel","f","Downtown","t","flexible",4,2,2,3,609
33769120,30899,0.81,"f","Condominium","t","Downtown","f","strict_14_with_grace_period",5,2,2,4,158
35869904,45042754,1,"t","Condominium","t","West End","f","moderate",3,1,1,1,257
22588401,4067961,1,"t","Apartment","t","Hastings-Sunrise","t","strict_14_with_grace_period",6,1,2,3,79
31294810,3512738,1,"t","House","t","Dunbar Southlands","f","moderate",1,1.5,1,1,59
33509704,415787,0.9,"f","Townhouse","t","Kitsilano","f","strict_14_with_grace_period",5,3,3,2,268
36946080,277732093,1,"f","House","f","Shaughnessy","t","strict_14_with_grace_period",7,3.5,4,4,388
28225952,3153107,1,"f","House","t","Marpole","t","strict_14_with_grace_period",1,1.5,1,1,81
24845353,19854208,1,"t","House","t","Mount Pleasant","f","strict_14_with_grace_period",3,2,2,2,360
27235273,52833246,0.83,"f","Loft","t","Downtown Eastside","f","strict_14_with_grace_period",3,1,1,1,400
34566237,104267661,0.94,"t","House","f","South Cambie","f","strict_14_with_grace_period",14,4.5,6,8,490
196722,958297,1,"f","Townhouse","t","Grandview-Woodland","f","strict_14_with_grace_period",5,2.5,3,3,209
23810907,78650631,1,"t","House","t","Mount Pleasant","f","flexible",2,1,1,1,99
34399029,100966366,NA,"f","Apartment","t","Mount Pleasant","f","moderate",2,1,1,1,174
10924322,54258070,1,"t","Loft","t","Downtown Eastside","f","moderate",3,1,1,2,180
38854636,280807397,1,"f","House","f","Riley Park","f","moderate",5,1,2,3,120
31122370,177522058,NA,"f","House","f","Hastings-Sunrise","t","flexible",2,1,1,1,81
37968434,284135265,0.9,"f","House","f","Dunbar Southlands","f","strict_14_with_grace_period",3,1,1,1,158
37839966,43494737,1,"t","House","t","Grandview-Woodland","f","strict_14_with_grace_period",6,2,3,3,176
32990894,248298135,NA,"f","Apartment","f","Downtown","f","moderate",4,1,1,2,255
24695516,185237832,0.9,"t","House","f","Sunset","f","strict_14_with_grace_period",10,2,3,5,230
33547215,290377,1,"f","House","t","Kitsilano","f","strict_14_with_grace_period",4,1,2,2,151
18754110,52469717,1,"f","Condominium","f","Downtown Eastside","f","flexible",2,1,1,1,199
35915852,270151300,1,"t","Condominium","f","Downtown","t","flexible",4,1,1,2,180
29970776,177389725,NA,"f","Apartment","f","Downtown","f","moderate",2,1,1,1,85
26386005,3388486,1,"t","House","f","Kitsilano","f","strict_14_with_grace_period",4,1,1,2,151
35133866,258987043,1,"t","Condominium","f","Downtown Eastside","t","strict_14_with_grace_period",5,2,2,3,338
35420313,23458673,1,"t","Loft","t","Mount Pleasant","t","strict_14_with_grace_period",6,1,0,3,224
35848732,136134176,1,"f","Apartment","f","Mount Pleasant","t","strict_14_with_grace_period",6,1,2,3,400
36714413,30899,0.81,"f","Condominium","t","Downtown","t","strict_14_with_grace_period",5,2,3,5,217
29740411,111619036,1,"f","Villa","f","West Point Grey","t","moderate",4,1.5,1,2,55
6653918,3250475,1,"f","House","t","Hastings-Sunrise","t","strict_14_with_grace_period",6,1,3,4,151
34233601,168234687,1,"f","Apartment","t","West End","f","strict_14_with_grace_period",3,1,1,1,85
36076993,257634922,1,"t","Condominium","f","Downtown","t","strict_14_with_grace_period",6,2,3,3,199
37243070,58241197,1,"f","Apartment","f","Downtown","t","strict_14_with_grace_period",2,1,1,1,250
226731,560892,0.7,"f","Apartment","t","Downtown","f","strict_14_with_grace_period",2,1,1,1,165
24449900,2523663,1,"f","House","f","Kensington-Cedar Cottage","t","moderate",5,1.5,3,2,250
31320721,194619558,1,"f","Serviced apartment","f","Downtown","f","strict_14_with_grace_period",2,1,1,2,99
20504139,9296535,NA,"t","House","f","Arbutus Ridge","t","strict_14_with_grace_period",10,3,4,4,508
32678804,229621112,1,"t","Condominium","f","West End","f","strict_14_with_grace_period",4,2,2,2,250
34446877,23342484,1,"t","Apartment","f","Mount Pleasant","t","moderate",4,1,2,2,300
26102154,93758498,0.5,"f","House","f","Shaughnessy","f","strict_14_with_grace_period",2,1,1,1,90
21066390,148424292,1,"f","Bed and breakfast","f","Downtown","f","moderate",2,1,1,1,145
24455362,3153107,1,"f","House","t","Marpole","t","moderate",2,1.5,1,1,129
36184209,5154126,1,"t","House","t","Kensington-Cedar Cottage","f","strict_14_with_grace_period",5,2,3,4,199
23991651,53967300,1,"f","Townhouse","f","Kitsilano","f","strict_14_with_grace_period",5,1,2,2,325
19744355,967999,1,"t","Apartment","f","Downtown","f","strict_14_with_grace_period",1,1,1,1,85
26494801,172455200,0.4,"f","Apartment","f","Downtown","t","flexible",1,1,1,1,81
28362315,214141922,1,"t","House","f","Killarney","t","strict_14_with_grace_period",2,1,1,1,114
23251979,5265632,1,"t","Apartment","f","Riley Park","t","flexible",4,1,2,2,100
34579108,260918128,1,"f","Guest suite","f","Riley Park","f","moderate",2,1,1,2,114
29542860,222277432,0.9,"f","House","f","South Cambie","t","moderate",2,1,1,1,75
25780311,193739605,1,"t","Apartment","t","Downtown Eastside","f","strict_14_with_grace_period",3,1,0,1,180
12807727,36169765,1,"f","Apartment","t","Downtown","f","moderate",3,1,2,2,65
38937494,66507029,0.99,"f","House","t","Marpole","t","strict_14_with_grace_period",2,1,1,1,69
14170506,32025862,1,"t","Bed and breakfast","t","Arbutus Ridge","t","strict_14_with_grace_period",2,1,1,1,210
37855735,86360753,1,"f","Condominium","f","Marpole","t","moderate",4,2,2,2,221
26569388,128600667,1,"t","Guest suite","f","Grandview-Woodland","t","strict_14_with_grace_period",4,1,2,3,129
39600992,304278249,NA,"f","Apartment","f","Mount Pleasant","f","flexible",4,1.5,2,3,269
24632717,31832267,0.9,"f","House","f","Arbutus Ridge","f","strict_14_with_grace_period",11,2,6,6,350
15149620,25567962,NA,"","Guest suite","","Hastings-Sunrise","f","moderate",2,1,0,0,59
1773753,1427066,NA,"f","Apartment","t","Mount Pleasant","f","moderate",3,1,1,1,149
36737280,276147720,1,"f","Guest suite","f","Dunbar Southlands","f","moderate",4,1,2,3,100
17298664,9977019,1,"t","House","t","Kitsilano","f","strict_14_with_grace_period",1,1,1,1,69
18527181,128619726,1,"f","Apartment","f","Downtown","f","flexible",6,2,2,4,250
7206626,36141263,1,"f","Guest suite","t","Dunbar Southlands","f","moderate",3,1,1,3,106
36006232,270895835,1,"f","House","f","Kerrisdale","f","strict_14_with_grace_period",16,3.5,6,10,450
38300376,2038204,1,"f","Apartment","t","Hastings-Sunrise","t","flexible",4,2,2,2,140
29233713,104690636,1,"t","Condominium","f","Downtown","f","strict_14_with_grace_period",2,1,1,1,78
37063539,192924537,1,"f","House","f","Kitsilano","f","flexible",5,1,2,3,300
28223074,66507029,0.99,"f","House","t","Sunset","t","strict_14_with_grace_period",2,1,1,1,99
39238448,81989921,1,"t","Condominium","f","West End","t","flexible",4,2,2,2,250
30854178,205309212,1,"t","Guest suite","f","South Cambie","t","strict_14_with_grace_period",4,1,2,2,184
20848320,73862675,NA,"f","Guest suite","f","Kensington-Cedar Cottage","t","flexible",2,1,1,1,81
32044207,11423475,0.89,"f","Condominium","f","Downtown","f","strict_14_with_grace_period",2,1,1,1,83
25808265,4127612,NA,"f","House","f","Kensington-Cedar Cottage","f","moderate",5,1,2,2,151
38215753,67090351,1,"f","House","t","Dunbar Southlands","t","moderate",2,1,1,2,120
38847985,226894747,1,"f","Townhouse","f","Marpole","t","strict_14_with_grace_period",6,2.5,3,3,300
33693424,223896599,1,"f","Villa","f","Arbutus Ridge","t","moderate",9,3,7,9,298
18093895,6848356,1,"f","Apartment","f","Downtown","f","strict_14_with_grace_period",2,1,1,1,176
31294681,234219558,0.9,"t","House","f","Hastings-Sunrise","t","strict_14_with_grace_period",8,2,3,4,123
28618009,84017415,1,"f","Guest suite","f","Shaughnessy","t","strict_14_with_grace_period",3,1,2,2,90
1525113,600607,1,"f","Apartment","t","West End","f","strict_14_with_grace_period",2,1,0,1,71
6680028,34793582,1,"f","House","f","Mount Pleasant","f","moderate",6,2,3,3,399
30403147,228275296,1,"t","House","f","Sunset","f","strict_14_with_grace_period",4,1,2,3,88
36170452,260623045,1,"f","Apartment","f","Downtown","t","strict_14_with_grace_period",12,2,5,7,600
20743705,148563303,1,"t","Condominium","f","Mount Pleasant","f","strict_14_with_grace_period",2,1,1,1,144
23121835,150034915,1,"t","House","f","Shaughnessy","t","moderate",5,1,2,3,198
35038809,182110861,0.89,"f","Guest suite","f","Dunbar Southlands","t","flexible",4,1,2,2,276
6154737,28890849,NA,"f","House","f","Riley Park","f","strict_14_with_grace_period",7,3.5,4,4,350
637617,3181196,0.5,"f","House","f","Grandview-Woodland","f","strict_14_with_grace_period",9,2,5,6,300
21577211,77383974,1,"f","Townhouse","f","Grandview-Woodland","t","strict_14_with_grace_period",4,1,1,1,100
24640541,12942482,1,"f","Apartment","f","Downtown","f","moderate",6,1.5,2,3,115
36589285,32304839,1,"f","Condominium","f","Downtown","t","flexible",2,1,1,1,145
24118621,27791355,1,"t","Condominium","t","Mount Pleasant","f","strict_14_with_grace_period",4,2,2,2,223
39157732,287917934,1,"f","House","f","Victoria-Fraserview","t","strict_14_with_grace_period",1,1,1,1,36
38331917,261440405,1,"t","House","t","Riley Park","f","moderate",1,2.5,1,1,28
24160497,166876263,1,"t","House","f","Mount Pleasant","t","flexible",2,1,1,1,129
6629499,10854870,NA,"f","House","t","Kitsilano","f","strict_14_with_grace_period",4,1,2,2,300
36816151,276665934,1,"t","House","f","Renfrew-Collingwood","t","flexible",2,1,1,1,40
25231564,23913448,1,"t","House","f","Grandview-Woodland","t","moderate",4,1.5,3,4,149
26532098,58189935,1,"f","House","f","Killarney","t","strict_14_with_grace_period",8,1,3,4,170
4568675,12909023,1,"t","House","f","Kitsilano","f","strict_14_with_grace_period",1,1,1,1,100
28331525,213933538,1,"t","House","f","Riley Park","t","moderate",4,1,1,2,151
38872940,295489146,1,"f","Apartment","t","Downtown","t","strict_14_with_grace_period",3,1,1,1,149
35382659,173802712,1,"f","House","f","Kensington-Cedar Cottage","f","moderate",6,2,3,4,199
36808295,276665934,1,"t","House","f","Renfrew-Collingwood","f","flexible",2,1,1,1,40
37865006,216447702,1,"f","Villa","f","Dunbar Southlands","t","moderate",2,1,1,1,88
13771205,27282530,NA,"f","Apartment","t","Kitsilano","f","moderate",2,1,1,1,120
13032884,72034701,1,"t","Apartment","f","Downtown","f","strict_14_with_grace_period",4,2,2,2,199
15448228,10679595,NA,"f","Other","t","Mount Pleasant","f","moderate",2,1,1,1,81
36535188,271726336,1,"f","Apartment","f","Downtown","t","strict_14_with_grace_period",7,2,3,3,298
5873868,406594,1,"t","Apartment","f","Mount Pleasant","f","strict_14_with_grace_period",4,1,1,2,110
1603077,10507457,1,"f","Apartment","t","Downtown","f","moderate",2,1,1,1,140
26235197,72817495,0.8,"f","House","t","Victoria-Fraserview","t","moderate",10,2.5,5,5,120
33790389,16357702,1,"f","Apartment","t","Downtown Eastside","t","moderate",2,1,1,1,165
1397291,7547807,0.75,"f","Apartment","f","Downtown","f","moderate",2,1,1,1,61
2560353,13104844,0.75,"f","Apartment","f","West End","f","strict_14_with_grace_period",4,1,1,2,158
33966585,256481525,NA,"t","Guest suite","f","Dunbar Southlands","f","strict_14_with_grace_period",4,1,2,2,199
13346084,75625891,NA,"f","House","t","Arbutus Ridge","f","strict_14_with_grace_period",8,2,4,4,440
14547306,89750541,1,"f","Guest suite","t","West Point Grey","f","moderate",5,1,2,3,174
29485224,51759019,0.95,"f","House","f","Arbutus Ridge","t","strict_14_with_grace_period",6,2,2,3,199
25581235,24203299,NA,"f","Apartment","t","West End","f","strict_14_with_grace_period",2,1,1,1,300
30404231,160493838,1,"f","Apartment","f","Downtown","t","strict_14_with_grace_period",2,1,1,1,106
33801912,42725147,1,"f","Townhouse","t","Downtown","f","strict_14_with_grace_period",4,2.5,2,2,457
1660055,8796977,NA,"f","House","t","Kensington-Cedar Cottage","f","strict_14_with_grace_period",6,3,3,3,92
9706793,31827499,1,"t","House","f","Grandview-Woodland","f","strict_14_with_grace_period",8,2.5,4,4,312
7432239,38931278,1,"f","House","t","West Point Grey","f","moderate",6,1,2,3,199
20015267,142102312,1,"f","House","f","Arbutus Ridge","t","flexible",2,1,1,1,90
25749994,1711093,NA,"f","Condominium","f","Fairview","t","strict_14_with_grace_period",6,2,3,3,700
4395511,9085924,1,"t","House","t","Renfrew-Collingwood","f","strict_14_with_grace_period",2,1,1,1,65
